USPTO,Author_Id,Filing_Date
16/629942,2780,
15/351409,2780,
8652797,5445,
8642284,5445,2000-12-13
8546074,5445,2012-06-14
7572575,5445,2006-04-13
7452664,5445,1999-12-15
5874210,5445,
9683231,2010,2014-01-28
9670486,2010,2013-12-13
7442501,1960,2003-01-17
7138510,1960,1997-12-03
7071302,1960,
6939850,1960,
6902732,1960,
6841145,1960,2001-04-26
6723893,1960,
6465617,1960,
6312947,1960,1999-01-20
5849290,1960,
5843641,1960,
15/780765,1960,
8404747,5305,2005-03-07
7179897,5305,
6943011,5305,
6703228,5305,1999-09-24
6420122,5305,1999-09-27
6316599,5305,1998-03-09
5977333,5305,
5955265,5305,
5726288,5305,1993-08-02
5350840,5305,
5198344,5305,
14/265178,5305,
10024860,2410,2013-03-14
9526800,2410,2014-09-29
9043994,2410,2008-03-12
16/258457,2410,
10799603,5940,2019-03-12
8586570,5940,2011-04-27
8440835,5940,2008-02-26
8409820,5940,2010-08-31
7964729,5940,2006-08-28
7892775,5940,2007-05-11
7442529,5940,2005-04-13
7262282,5940,2004-04-06
7101667,5940,2002-09-05
6906194,5940,2003-10-08
16/818827,5940,
10941395,2425,2018-07-06
10548959,2425,2016-09-23
10047355,2425,2016-12-09
9567642,2425,2013-02-01
7514207,2425,2004-12-03
16/449100,2425,
16/692624,2425,
16/430116,2425,
16/735187,2425,
10457917,1965,2018-07-09
10017744,1965,2017-05-05
9670464,1965,2015-10-26
9382515,1965,2010-08-25
9201060,1965,2010-11-11
9169490,1965,2012-10-05
8951797,1965,2012-10-05
8940536,1965,2010-02-09
8932856,1965,2012-10-05
8927279,1965,2012-10-05
8071369,1965,2010-02-09
7994127,1965,2008-06-06
7682828,1965,2004-11-24
16/665821,1965,
9951055,5465,2013-10-21
9884851,5465,2013-10-21
9603897,5465,2014-08-08
7078511,5465,1997-03-27
6350859,5465,
5962322,5465,1996-11-15
11021740,2420,2018-03-15
10745744,2420,2017-06-15
10266887,2420,2018-03-09
10266886,2420,2018-03-09
9708648,2420,2016-04-25
9434985,2420,2012-03-29
9370551,2420,2012-07-25
15/844530,2420,
15/960064,2420,
15/922879,2420,
16/681639,2420,
14/774644,2420,
16/494279,2420,
15/965192,2420,
16/834933,2420,
16/990543,2420,
16/285128,2420,
15/141348,2420,
15/922576,2420,
16/648715,2420,
15/952132,2420,
16/611025,2420,
16/450825,2420,
16/450699,2420,
15/482603,2420,
16/450852,2420,
15/771981,2420,
16/310577,2420,
16/844323,3335,
6020476,5455,
5871920,5455,
5695935,5455,
6964859,4065,2002-10-16
11001622,5575,2018-05-17
10870885,5575,2014-03-17
10822587,5575,2014-02-27
10655173,5575,2016-04-18
16/497105,5575,
16/648715,5575,
16/331410,5575,
16/782044,5575,
16/442348,5575,
16/087036,5575,
15/922576,5575,
15/966290,5575,
15/966324,5575,
16/753039,5575,
15/771981,5575,
17/063617,5575,
16/709710,5575,
15/468652,5575,
15/687089,5575,
16/651654,5575,
15/965192,5575,
16/394747,5575,
16/604589,5575,
16/340376,5575,
16/348911,5575,
16/499908,5575,
16/995425,5575,
16/735187,5575,
16/681639,5575,
16/499393,5575,
17/014809,5575,
16/345124,5575,
15/767074,5575,
15/680127,5575,
16/604596,5575,
16/563450,5575,
16/763705,5575,
16/622636,5575,
16/630887,5575,
16/244058,5575,
17/063604,5575,
17/065328,5575,
16/809458,5575,
16/396461,5575,
15/966244,5575,
15/771987,5575,
16/675398,5575,
16/604651,5575,
17/083235,5575,
16/352355,5575,
15/772035,5575,
16/862506,5575,
16/631916,5575,
15/970791,5575,
16/770346,5575,
16/616548,5575,
16/616536,5575,
15/790830,5575,
16/681050,5575,
10426757,3175,2015-05-29
10123985,3175,2016-06-08
8486643,3175,2010-10-07
8258271,3175,2006-05-17
7052870,3175,2004-02-18
15/141348,3175,
9823250,7715,2017-02-25
10946035,1975,2013-10-16
10472625,1975,2015-10-16
9717749,1975,2015-04-16
9272022,1975,2012-03-30
9193753,1975,2013-03-14
9012621,1975,2011-01-18
9012138,1975,2011-03-09
